time,roll_e,pitch_e,yaw_e
0.034000,-0.007548,0.004393,-0.005944
0.036000,-0.008259,0.004949,-0.006450
0.038000,-0.008851,0.005491,-0.006924
0.040000,-0.009315,0.006024,-0.007364
0.042000,-0.009651,0.006548,-0.007770
0.044000,-0.009864,0.007067,-0.008145
0.046000,-0.010065,0.007546,-0.008498
0.050000,-0.010275,0.007987,-0.008829
0.050000,-0.010474,0.008399,-0.009135
0.052000,-0.010659,0.008787,-0.009416
0.054000,-0.010805,0.009155,-0.009679
0.056000,-0.010862,0.009508,-0.009932
0.058000,-0.010834,0.009847,-0.010177
0.062000,-0.010690,0.010174,-0.010419
0.062000,-0.010425,0.010491,-0.010661
0.064000,-0.010047,0.010796,-0.010901
0.066000,-0.009575,0.011086,-0.011140
0.068000,-0.009143,0.011336,-0.011374
0.070000,-0.008770,0.011544,-0.011601
0.072000,-0.008440,0.011715,-0.011824
0.074000,-0.008153,0.011847,-0.012042
0.076000,-0.007877,0.011951,-0.012257
0.078000,-0.007598,0.012028,-0.012471
0.080000,-0.007320,0.012078,-0.012682
0.082000,-0.007039,0.012103,-0.012891
0.086000,-0.006757,0.012106,-0.013099
0.086000,-0.006479,0.012090,-0.013306
0.088000,-0.006205,0.012054,-0.013511
0.090000,-0.005951,0.011999,-0.013715
0.092000,-0.005718,0.011926,-0.013917
0.094000,-0.005616,0.011818,-0.014112
0.096000,-0.005638,0.011678,-0.014299
0.098000,-0.005759,0.011515,-0.014478
0.102000,-0.005945,0.011337,-0.014650
0.102000,-0.006165,0.011150,-0.014816
0.104000,-0.006416,0.010955,-0.014977
0.106000,-0.006671,0.010758,-0.015134
0.108000,-0.006883,0.010569,-0.015288
0.112000,-0.007056,0.010388,-0.015440
0.112000,-0.007177,0.010217,-0.015590
0.114000,-0.007244,0.010056,-0.015739
0.116000,-0.007255,0.009908,-0.015886
0.118000,-0.007217,0.009772,-0.016033
0.120000,-0.007199,0.009639,-0.016175
0.124000,-0.007224,0.009507,-0.016311
0.124000,-0.007283,0.009379,-0.016441
0.126000,-0.007375,0.009256,-0.016566
0.128000,-0.007487,0.009140,-0.016686
0.132000,-0.007594,0.009035,-0.016800
0.132000,-0.007687,0.008945,-0.016911
0.134000,-0.007765,0.008867,-0.017018
0.136000,-0.007827,0.008803,-0.017121
0.138000,-0.007873,0.008752,-0.017220
0.140000,-0.007904,0.008714,-0.017316
0.142000,-0.007925,0.008688,-0.017408
0.144000,-0.007959,0.008673,-0.017495
0.146000,-0.008009,0.008669,-0.017575
0.148000,-0.008073,0.008676,-0.017649
0.150000,-0.008147,0.008693,-0.017718
0.152000,-0.008229,0.008720,-0.017780
0.154000,-0.008316,0.008758,-0.017838
0.156000,-0.008408,0.008804,-0.017889
0.158000,-0.008504,0.008860,-0.017935
0.160000,-0.008504,0.008860,-0.017935
0.162000,-0.008706,0.008996,-0.018012
0.164000,-0.008811,0.009075,-0.018043
0.166000,-0.008917,0.009159,-0.018070
0.168000,-0.009025,0.009247,-0.018092
0.170000,-0.009108,0.009353,-0.018109
0.172000,-0.009168,0.009474,-0.018120
0.174000,-0.009208,0.009609,-0.018127
0.176000,-0.009249,0.009752,-0.018129
0.178000,-0.009303,0.009898,-0.018124
0.180000,-0.009378,0.010047,-0.018113
0.182000,-0.009473,0.010196,-0.018095
0.184000,-0.009594,0.010344,-0.018069
0.186000,-0.009740,0.010489,-0.018037
0.188000,-0.009908,0.010631,-0.017997
0.190000,-0.010098,0.010770,-0.017950
0.192000,-0.010305,0.010906,-0.017896
0.194000,-0.010455,0.011063,-0.017838
0.196000,-0.010545,0.011240,-0.017777
0.198000,-0.010580,0.011436,-0.017712
0.200000,-0.010581,0.011644,-0.017643
0.202000,-0.010574,0.011857,-0.017569
0.204000,-0.010583,0.012067,-0.017488
0.206000,-0.010629,0.012271,-0.017398
0.208000,-0.010738,0.012461,-0.017297
0.210000,-0.010906,0.012638,-0.017184
0.212000,-0.011135,0.012801,-0.017059
0.214000,-0.011416,0.012950,-0.016922
0.216000,-0.011731,0.013088,-0.016774
0.218000,-0.011967,0.013253,-0.016622
0.220000,-0.012130,0.013442,-0.016465
0.222000,-0.012213,0.013654,-0.016304
0.224000,-0.012242,0.013882,-0.016138
0.226000,-0.012271,0.014110,-0.015964
0.228000,-0.012302,0.014336,-0.015780
0.230000,-0.012359,0.014554,-0.015586
0.232000,-0.012359,0.014554,-0.015586
0.234000,-0.012641,0.014938,-0.015157
0.238000,-0.012865,0.015103,-0.014921
0.238000,-0.013134,0.015250,-0.014671
0.240000,-0.013445,0.015380,-0.014409
0.240000,-0.013445,0.015380,-0.014409
0.244000,-0.013777,0.015494,-0.014135
0.246000,-0.014374,0.015723,-0.013561
0.248000,-0.014507,0.015882,-0.013269
0.250000,-0.014549,0.016059,-0.012973
0.252000,-0.014505,0.016254,-0.012672
0.256000,-0.014443,0.016447,-0.012363
0.256000,-0.014398,0.016630,-0.012044
0.258000,-0.014371,0.016802,-0.011713
0.260000,-0.014383,0.016959,-0.011369
0.262000,-0.014446,0.017096,-0.011011
0.264000,-0.014577,0.017211,-0.010636
0.266000,-0.014774,0.017302,-0.010245
0.268000,-0.015033,0.017370,-0.009838
0.270000,-0.015225,0.017465,-0.009421
0.272000,-0.015225,0.017465,-0.009421
0.274000,-0.015368,0.017726,-0.008560
0.276000,-0.015351,0.017881,-0.008114
0.280000,-0.015345,0.018033,-0.007653
0.280000,-0.015376,0.018174,-0.007176
0.282000,-0.015442,0.018306,-0.006682
0.284000,-0.015614,0.018356,-0.006252
0.288000,-0.015877,0.018333,-0.005886
0.290000,-0.016205,0.018256,-0.005573
0.290000,-0.016586,0.018137,-0.005306
0.292000,-0.017000,0.017993,-0.005076
0.296000,-0.017425,0.017856,-0.004875
0.298000,-0.017847,0.017738,-0.004699
0.300000,-0.018266,0.017642,-0.004541
0.300000,-0.018676,0.017573,-0.004399
0.302000,-0.019072,0.017536,-0.004268
0.306000,-0.019450,0.017532,-0.004146
